,time,signal
196,11760,36.53
197,11820,36.47
198,11880,36.5
199,11940,36.52
200,12000,36.62
201,12060,36.58
202,12120,36.49
203,12180,36.36
204,12240,36.34
205,12300,36.35
206,12360,36.41
207,12420,36.35
208,12480,36.35
209,12540,36.27
210,12600,36.32
211,12660,36.3
212,12720,36.31
213,12780,36.29
214,12840,36.38
215,12900,36.28
216,12960,36.22
217,13020,36.28
218,13080,36.28
219,13140,36.25
220,13200,36.29
221,13260,36.3
222,13320,36.28
223,13380,36.3
224,13440,36.31
225,13500,36.32
226,13560,36.34
227,13620,36.28
228,13680,36.31
229,13740,36.3
230,13800,36.31
231,13860,36.35
232,13920,36.32
233,13980,36.33
234,14040,36.38
235,14100,36.39
236,14160,36.38
237,14220,36.35
238,14280,36.36
239,14340,36.42
240,14400,36.43
241,14460,36.45
242,14520,36.44
243,14580,36.51
244,14640,36.55
245,14700,36.58
246,14760,36.63
247,14820,36.63
248,14880,36.59
249,14940,36.56
250,15000,36.59
251,15060,36.55
252,15120,36.46
253,15180,36.38
254,15240,36.31
255,15300,36.38
256,15360,36.39
257,15420,36.39
258,15480,36.33
259,15540,36.35
260,15600,36.51
261,15660,36.42
262,15720,36.5
263,15780,36.57
264,15840,36.56
265,15900,36.49
266,15960,36.49
267,16020,36.47
268,16080,36.49
269,16140,36.49
270,16200,36.55
271,16260,36.63
272,16320,36.66
273,16380,36.69
274,16440,36.68
275,16500,36.63
276,16560,36.66
277,16620,36.67
278,16680,36.74
279,16740,36.7
280,16800,36.75
281,16860,36.72
282,16920,36.66
283,16980,36.61
284,17040,36.62
285,17100,36.59
286,17160,36.61
287,17220,36.61
288,17280,36.67
289,17340,36.69
290,17400,36.7
291,17460,36.79
292,17520,36.8
293,17580,36.75
294,17640,36.75
295,17700,36.72
296,17760,36.73
297,17820,36.79
298,17880,36.8
299,17940,36.76
300,18000,36.77
301,18060,36.76
302,18120,36.77
303,18180,36.77
304,18240,36.73
305,18300,36.77
306,18360,36.74
307,18420,36.7
308,18480,36.71
309,18540,36.78
310,18600,36.77
311,18660,36.75
312,18720,36.79
313,18780,36.72
314,18840,36.73
315,18900,36.82
316,18960,36.83
317,19020,36.8
318,19080,36.74
319,19140,36.7
320,19200,36.66
321,19260,36.61
322,19320,36.59
323,19380,36.55
324,19440,36.58
325,19500,36.6
326,19560,36.62
327,19620,36.61
328,19680,36.59
329,19740,36.54
330,19800,36.57
331,19860,36.64
332,19920,36.65
333,19980,36.7
334,20040,36.71
335,20100,36.76
336,20160,36.73
337,20220,36.76
338,20280,36.84
339,20340,36.87
340,20400,36.87
341,20460,36.81
342,20520,36.83
343,20580,36.83
344,20640,36.83
345,20700,36.86
346,20760,36.92
347,20820,36.91
348,20880,36.92
349,20940,36.93
350,21000,36.98
351,21060,37.04
352,21120,36.97
353,21180,36.92
354,21240,36.9
355,21300,36.93
356,21360,36.91
357,21420,36.89
358,21480,36.92
359,21540,36.97
360,21600,36.84
361,21660,36.76
362,21720,36.86
363,21780,36.78
364,21840,36.78
365,21900,36.74
366,21960,36.65
367,22020,36.68
368,22080,36.69
369,22140,36.7
370,22200,36.67
371,22260,36.67
372,22320,36.77
373,22380,36.79
374,22440,36.79
375,22500,36.72
376,22560,36.71
377,22620,36.75
378,22680,36.81
379,22740,36.7
380,22800,36.71
381,22860,36.67
382,22920,36.76
383,22980,36.77
384,23040,36.8
385,23100,36.79
386,23160,36.78
387,23220,36.79
388,23280,36.79
389,23340,36.88
390,23400,36.83
391,23460,36.93
392,23520,36.89
393,23580,36.88
394,23640,36.84
395,23700,36.82
396,23760,36.8
397,23820,36.74
398,23880,36.76
399,23940,36.74
400,24000,36.71
401,24060,36.72
402,24120,36.62
403,24180,36.6
404,24240,36.6
405,24300,36.66
406,24360,36.67
407,24420,36.65
408,24480,36.62
409,24540,36.59
410,24600,36.59
411,24660,36.46
412,24720,36.46
413,24780,36.42
414,24840,36.45
415,24900,36.52
416,24960,36.46
417,25020,36.48
418,25080,36.45
419,25140,36.37
420,25200,36.39
421,25260,36.38
422,25320,36.39
423,25380,36.37
424,25440,36.39
425,25500,36.34
426,25560,36.38
427,25620,36.29
428,25680,36.29
429,25740,36.25
430,25800,36.28
431,25860,36.31
432,25920,36.3
433,25980,36.25
434,26040,36.23
435,26100,36.17
436,26160,36.2
437,26220,36.1
438,26280,36.04
439,26340,35.98
440,26400,36.01
441,26460,36.03
442,26520,35.96
443,26580,35.94
444,26640,35.94
445,26700,35.98
446,26760,36.03
447,26820,36.05
448,26880,36.01
449,26940,36.11
450,27000,36.13
451,27060,36.08
452,27120,36.14
453,27180,36.12
454,27240,36.13
455,27300,36.16
456,27360,36.13
457,27420,36.07
458,27480,36.14
459,27540,36.24
460,27600,36.3
461,27660,36.33
462,27720,36.36
463,27780,36.4
464,27840,36.44
465,27900,36.44
466,27960,36.46
467,28020,36.44
468,28080,36.47
469,28140,36.37
470,28200,36.33
471,28260,36.33
472,28320,36.36
473,28380,36.42
474,28440,36.41
475,28500,36.41
476,28560,36.46
477,28620,36.36
478,28680,36.37
479,28740,36.28
480,28800,36.29
481,28860,36.39
482,28920,36.34
483,28980,36.32
484,29040,36.38
485,29100,36.34
486,29160,36.31
487,29220,36.26
488,29280,36.29
489,29340,36.19
490,29400,36.15
491,29460,36.17
492,29520,36.17
493,29580,36.17
494,29640,36.18
495,29700,36.25
496,29760,36.26
497,29820,36.21
498,29880,36.17
499,29940,36.17
500,30000,36.18
501,30060,36.2
502,30120,36.1
503,30180,36.18
504,30240,36.14
505,30300,36.21
506,30360,36.25
507,30420,36.2
508,30480,36.16
509,30540,36.08
510,30600,36.07
511,30660,36.04
512,30720,36.02
513,30780,35.91
514,30840,35.93
515,30900,35.91
516,30960,35.99
517,31020,35.96
518,31080,35.9
519,31140,35.93
520,31200,35.96
521,31260,35.97
522,31320,36.0
523,31380,35.92
524,31440,35.91
525,31500,35.94
526,31560,35.97
527,31620,35.97
528,31680,35.93
529,31740,35.92
530,31800,35.98
531,31860,36.02
532,31920,36.03
533,31980,36.0
534,32040,35.97
535,32100,35.97
536,32160,36.0
537,32220,35.93
538,32280,35.8
539,32340,35.87
540,32400,35.83
541,32460,35.77
542,32520,35.74
543,32580,35.76
544,32640,35.76
545,32700,35.76
546,32760,35.8
547,32820,35.78
548,32880,35.8
549,32940,35.81
550,33000,35.74
551,33060,35.71
552,33120,35.71
553,33180,35.73
554,33240,35.66
555,33300,35.54
556,33360,35.56
557,33420,35.52
558,33480,35.47
559,33540,35.44
560,33600,35.39
561,33660,35.48
562,33720,35.51
563,33780,35.56
564,33840,35.52
565,33900,35.46
566,33960,35.4
567,34020,35.35
568,34080,35.36
569,34140,35.44
570,34200,35.46
571,34260,35.41
572,34320,35.5
573,34380,35.57
574,34440,35.59
575,34500,35.54
576,34560,35.53
577,34620,35.49
578,34680,35.48
579,34740,35.42
580,34800,35.47
581,34860,35.51
582,34920,35.54
583,34980,35.58
584,35040,35.62
585,35100,35.65
586,35160,35.66
587,35220,35.6
588,35280,35.58
589,35340,35.5
590,35400,35.45
591,35460,35.42
592,35520,35.42
593,35580,35.38
594,35640,35.37
595,35700,35.41
596,35760,35.41
597,35820,35.46
598,35880,35.45
599,35940,35.39
600,36000,35.35
601,36060,35.37
602,36120,35.36
603,36180,35.39
604,36240,35.36
605,36300,35.36
606,36360,35.3
607,36420,35.31
608,36480,35.28
609,36540,35.25
610,36600,35.23
611,36660,35.15
612,36720,35.19
613,36780,35.26
614,36840,35.25
615,36900,35.31
616,36960,35.35
617,37020,35.29
618,37080,35.28
619,37140,35.29
620,37200,35.24
621,37260,35.25
622,37320,35.38
623,37380,35.32
624,37440,35.27
625,37500,35.28
626,37560,35.27
627,37620,35.23
628,37680,35.2
629,37740,35.22
630,37800,35.26
631,37860,35.31
632,37920,35.28
633,37980,35.26
634,38040,35.3
635,38100,35.31
636,38160,35.33
637,38220,35.32
638,38280,35.33
639,38340,35.34
640,38400,35.32
641,38460,35.37
642,38520,35.39
643,38580,35.4
644,38640,35.36
645,38700,35.35
646,38760,35.38
647,38820,35.47
648,38880,35.43
649,38940,35.46
650,39000,35.53
651,39060,35.48
652,39120,35.49
653,39180,35.42
654,39240,35.42
655,39300,35.45
656,39360,35.37
657,39420,35.37
658,39480,35.35
659,39540,35.3
660,39600,35.39
661,39660,35.4
662,39720,35.41
663,39780,35.44
664,39840,35.48
665,39900,35.62
666,39960,35.62
667,40020,35.65
668,40080,35.68
669,40140,35.69
670,40200,35.73
671,40260,35.78
672,40320,35.71
673,40380,35.69
674,40440,35.66
675,40500,35.59
676,40560,35.53
677,40620,35.54
678,40680,35.39
679,40740,35.46
680,40800,35.51
681,40860,35.47
682,40920,35.52
683,40980,35.56
684,41040,35.52
685,41100,35.52
686,41160,35.56
687,41220,35.54
688,41280,35.52
689,41340,35.53
690,41400,35.53
691,41460,35.51
692,41520,35.5
693,41580,35.45
694,41640,35.54
695,41700,35.43
696,41760,35.36
697,41820,35.44
698,41880,35.43
699,41940,35.4
700,42000,35.46
701,42060,35.44
702,42120,35.48
703,42180,35.44
704,42240,35.41
705,42300,35.45
706,42360,35.46
707,42420,35.44
708,42480,35.43
709,42540,35.44
710,42600,35.4
711,42660,35.37
712,42720,35.39
713,42780,35.39
714,42840,35.36
715,42900,35.33
716,42960,35.39
717,43020,35.32
718,43080,35.26
719,43140,35.36
720,43200,35.29
721,43260,35.25
722,43320,35.27
723,43380,35.21
724,43440,35.15
725,43500,35.26
726,43560,35.3
727,43620,35.32
728,43680,35.32
729,43740,35.3
730,43800,35.28
731,43860,35.27
732,43920,35.25
733,43980,35.24
734,44040,35.22
735,44100,35.21
736,44160,35.21
737,44220,35.28
738,44280,35.33
739,44340,35.29
740,44400,35.33
741,44460,35.39
742,44520,35.4
743,44580,35.32
744,44640,35.4
745,44700,35.46
746,44760,35.54
747,44820,35.51
748,44880,35.4
749,44940,35.49
750,45000,35.47
751,45060,35.36
752,45120,35.33
753,45180,35.38
754,45240,35.43
755,45300,35.4
756,45360,35.38
757,45420,35.4
758,45480,35.43
759,45540,35.35
760,45600,35.42
761,45660,35.46
762,45720,35.52
763,45780,35.56
764,45840,35.65
765,45900,35.6
766,45960,35.56
767,46020,35.58
768,46080,35.55
769,46140,35.57
770,46200,35.5
771,46260,35.49
772,46320,35.57
773,46380,35.63
774,46440,35.6
775,46500,35.69
776,46560,35.7
777,46620,35.67
778,46680,35.6
779,46740,35.61
780,46800,35.6
781,46860,35.6
782,46920,35.61
783,46980,35.68
784,47040,35.62
785,47100,35.56
786,47160,35.58
787,47220,35.56
788,47280,35.59
789,47340,35.62
790,47400,35.52
791,47460,35.52
792,47520,35.43
793,47580,35.47
794,47640,35.6
795,47700,35.63
796,47760,35.67
797,47820,35.67
798,47880,35.67
799,47940,35.67
800,48000,35.68
801,48060,35.7
802,48120,35.61
803,48180,35.61
804,48240,35.55
805,48300,35.55
806,48360,35.59
807,48420,35.64
808,48480,35.7
809,48540,35.7
810,48600,35.61
811,48660,35.6
812,48720,35.61
813,48780,35.59
814,48840,35.52
815,48900,35.5
816,48960,35.52
817,49020,35.54
818,49080,35.53
819,49140,35.48
820,49200,35.56
821,49260,35.46
822,49320,35.4
823,49380,35.41
824,49440,35.45
825,49500,35.52
826,49560,35.53
827,49620,35.51
828,49680,35.56
829,49740,35.55
830,49800,35.53
831,49860,35.47
832,49920,35.38
833,49980,35.33
834,50040,35.36
835,50100,35.37
836,50160,35.36
837,50220,35.35
838,50280,35.37
839,50340,35.34
840,50400,35.3
841,50460,35.33
842,50520,35.35
843,50580,35.39
844,50640,35.32
845,50700,35.29
846,50760,35.33
847,50820,35.3
848,50880,35.35
849,50940,35.38
850,51000,35.33
851,51060,35.29
852,51120,35.17
853,51180,35.19
854,51240,35.21
855,51300,35.13
856,51360,35.16
857,51420,35.09
858,51480,35.21
859,51540,35.13
860,51600,35.14
861,51660,35.07
862,51720,35.01
863,51780,34.93
864,51840,34.92
865,51900,34.93
866,51960,34.93
867,52020,34.91
868,52080,34.88
869,52140,34.84
870,52200,34.74
871,52260,34.67
872,52320,34.72
873,52380,34.66
874,52440,34.68
875,52500,34.71
876,52560,34.76
877,52620,34.66
878,52680,34.59
879,52740,34.56
880,52800,34.6
881,52860,34.59
882,52920,34.56
883,52980,34.55
884,53040,34.42
885,53100,34.37
886,53160,34.35
887,53220,34.36
888,53280,34.26
889,53340,34.28
890,53400,34.24
891,53460,34.18
892,53520,34.2
893,53580,34.25
894,53640,34.17
895,53700,34.18
896,53760,34.18
897,53820,34.19
898,53880,34.25
899,53940,34.29
900,54000,34.23
901,54060,34.15
902,54120,34.1
903,54180,34.08
904,54240,34.08
905,54300,34.1
906,54360,34.13
907,54420,34.17
908,54480,34.25
909,54540,34.2
910,54600,34.21
911,54660,34.23
912,54720,34.17
913,54780,34.12
914,54840,34.17
915,54900,34.22
916,54960,34.23
917,55020,34.21
918,55080,34.28
919,55140,34.32
920,55200,34.33
921,55260,34.32
922,55320,34.37
923,55380,34.37
924,55440,34.38
925,55500,34.25
926,55560,34.27
927,55620,34.25
928,55680,34.19
929,55740,34.15
930,55800,34.09
931,55860,34.05
932,55920,34.08
933,55980,34.03
934,56040,34.02
935,56100,34.07
936,56160,34.09
937,56220,34.08
938,56280,34.04
939,56340,33.99
940,56400,34.03
941,56460,33.94
942,56520,33.85
943,56580,33.82
944,56640,33.84
945,56700,33.88
946,56760,33.85
947,56820,33.9
948,56880,33.81
949,56940,33.89
950,57000,33.87
951,57060,33.86
952,57120,33.88
953,57180,33.89
954,57240,33.79
955,57300,33.82
956,57360,33.88
957,57420,33.82
958,57480,33.76
959,57540,33.82
960,57600,33.84
961,57660,33.89
962,57720,33.93
963,57780,33.94
964,57840,33.97
965,57900,33.89
966,57960,33.86
967,58020,33.75
968,58080,33.75
969,58140,33.8
970,58200,33.85
971,58260,33.86
972,58320,33.89
973,58380,33.97
974,58440,33.99
975,58500,34.04
976,58560,34.0
977,58620,33.99
978,58680,34.04
979,58740,34.04
980,58800,34.06
981,58860,34.04
982,58920,34.06
983,58980,34.04
984,59040,34.1
985,59100,34.15
986,59160,34.17
987,59220,34.22
988,59280,34.26
989,59340,34.24
990,59400,34.21
991,59460,34.17
992,59520,34.17
993,59580,34.09
994,59640,34.06
995,59700,34.08
996,59760,34.11
997,59820,34.04
998,59880,34.04
999,59940,34.12
